gsm,series_id,organism_ch1,title,source_name_ch1,characteristics_ch1,platform_id,library_strategy,library_source,instrument_model,molecule_ch1,submission_date,singlecellprobability,metadata_archs4_file,archs4_version,spaceflight,microgravity,analog,species,split,study_exposure
GSM3098328,GSE113165,Homo sapiens,14406X6_3010_old_M_post_high,vastus lateralis muscle,"subject: 3010,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X6",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0020064531729928376,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098329,GSE113165,Homo sapiens,14406X7_3013_old_M_pre_low,vastus lateralis muscle,"subject: 3013,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X7",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007761731130187053,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098330,GSE113165,Homo sapiens,14406X8_3013_old_M_post_low,vastus lateralis muscle,"subject: 3013,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X8",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007944522710832687,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098331,GSE113165,Homo sapiens,14406X9_3012_old_M_pre_low,vastus lateralis muscle,"subject: 3012,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X9",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0018887054644700404,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098332,GSE113165,Homo sapiens,14406X10_3012_old_M_post_low,vastus lateralis muscle,"subject: 3012,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X10",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007738012517365873,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098333,GSE113165,Homo sapiens,14406X11_3021_old_Female_pre_low,vastus lateralis muscle,"subject: 3021,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X11",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.020122489949807826,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098334,GSE113165,Homo sapiens,14406X12_3021_old_Female_post_low,vastus lateralis muscle,"subject: 3021,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X12",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.00977965729274468,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098335,GSE113165,Homo sapiens,14406X13_3024_old_M_pre_low,vastus lateralis muscle,"subject: 3024,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X13",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.009156783329729553,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098336,GSE113165,Homo sapiens,14406X14_3024_old_M_post_low,vastus lateralis muscle,"subject: 3024,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X14",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.006070431493676153,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098337,GSE113165,Homo sapiens,14406X15_3025_old_M_pre_high,vastus lateralis muscle,"subject: 3025,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X15",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.003653216521764778,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098338,GSE113165,Homo sapiens,14406X16_3025_old_M_post_high,vastus lateralis muscle,"subject: 3025,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X16",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0030200319644466114,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098339,GSE113165,Homo sapiens,14406X17_3026_old_M_pre_high,vastus lateralis muscle,"subject: 3026,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X17",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098340,GSE113165,Homo sapiens,14406X18_3026_old_M_post_high,vastus lateralis muscle,"subject: 3026,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X18",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0001858208283284149,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098341,GSE113165,Homo sapiens,14406X19_3029_old_M_pre_high,vastus lateralis muscle,"subject: 3029,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X19",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098342,GSE113165,Homo sapiens,14406X20_3029_old_M_post_high,vastus lateralis muscle,"subject: 3029,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X20",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0007326615002393105,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098343,GSE113165,Homo sapiens,10876X1_1003_young_M_pre_low,vastus lateralis muscle,"subject: 1003,time: pre bed rest,age: young,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X1",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.003096292929203646,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098344,GSE113165,Homo sapiens,10876X2_1003_young_M_post_low,vastus lateralis muscle,"subject: 1003,time: post bed rest,age: young,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X2",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.004439771965124992,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098345,GSE113165,Homo sapiens,10876X3_1007_young_Female_pre_low,vastus lateralis muscle,"subject: 1007,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X3",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.00483667001243334,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098346,GSE113165,Homo sapiens,10876X4_1007_young_Female_post_low,vastus lateralis muscle,"subject: 1007,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X4",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.009508714961766973,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098347,GSE113165,Homo sapiens,10876X5_1009_young_Female_pre_low,vastus lateralis muscle,"subject: 1009,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X5",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007245482858639636,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098348,GSE113165,Homo sapiens,10876X6_1009_young_Female_post_low,vastus lateralis muscle,"subject: 1009,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X6",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.014406623529471021,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098349,GSE113165,Homo sapiens,10876X7_1010_young_Female_pre_low,vastus lateralis muscle,"subject: 1010,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X7",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007965122135797574,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098350,GSE113165,Homo sapiens,10876X8_1010_young_Female_post_low,vastus lateralis muscle,"subject: 1010,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X8",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098351,GSE113165,Homo sapiens,10876X9_1011_young_Female_pre_high,vastus lateralis muscle,"subject: 1011,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X9",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.008113662762224472,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098352,GSE113165,Homo sapiens,10876X10_1011_young_Female_post_high,vastus lateralis muscle,"subject: 1011,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X10",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007842748391097757,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098353,GSE113165,Homo sapiens,10876X11_1012_young_Female_pre_high,vastus lateralis muscle,"subject: 1012,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X11",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.005186960488693271,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098354,GSE113165,Homo sapiens,10876X12_1012_young_Female_post_high,vastus lateralis muscle,"subject: 1012,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X12",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.04980041518646722,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098355,GSE113165,Homo sapiens,10876X13_1013_young_M_pre_low,vastus lateralis muscle,"subject: 1013,time: pre bed rest,age: young,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X13",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.012840699014516852,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098356,GSE113165,Homo sapiens,10876X14_1013_young_M_post_low,vastus lateralis muscle,"subject: 1013,time: post bed rest,age: young,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X14",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.003096292929203646,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098357,GSE113165,Homo sapiens,10876X15_1016_young_Female_pre_high,vastus lateralis muscle,"subject: 1016,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X15",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.010269354185171263,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098358,GSE113165,Homo sapiens,10876X16_1016_young_Female_post_high,vastus lateralis muscle,"subject: 1016,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X16",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007842748391097757,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098359,GSE113165,Homo sapiens,10876X17_1017_young_Female_pre_high,vastus lateralis muscle,"subject: 1017,time: pre bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X17",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.016949417681626777,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098360,GSE113165,Homo sapiens,10876X18_1017_young_Female_post_high,vastus lateralis muscle,"subject: 1017,time: post bed rest,age: young,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X18",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.001973387283661263,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098361,GSE113165,Homo sapiens,10876X19_2002_old_Female_pre_low,vastus lateralis muscle,"subject: 2002,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X19",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.009457507028903075,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098362,GSE113165,Homo sapiens,10876X20_2002_old_Female_post_low,vastus lateralis muscle,"subject: 2002,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X20",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.000470214232622838,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098363,GSE113165,Homo sapiens,10876X21_2003_old_M_pre_low,vastus lateralis muscle,"subject: 2003,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X21",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007486873646062441,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098364,GSE113165,Homo sapiens,10876X22_2003_old_M_post_low,vastus lateralis muscle,"subject: 2003,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X22",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0056809205817051804,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098365,GSE113165,Homo sapiens,10876X23_2004_old_Female_pre_high,vastus lateralis muscle,"subject: 2004,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X23",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.010355472278045745,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098366,GSE113165,Homo sapiens,10876X24_2004_old_Female_post_high,vastus lateralis muscle,"subject: 2004,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X24",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.004993540968945992,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098367,GSE113165,Homo sapiens,10876X25_2005_old_M_pre_high,vastus lateralis muscle,"subject: 2005,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X25",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.01722866843611018,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098368,GSE113165,Homo sapiens,10876X26_2005_old_M_post_high,vastus lateralis muscle,"subject: 2005,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X26",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.005055326730939202,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098369,GSE113165,Homo sapiens,10876X27_2006_old_Female_pre_low,vastus lateralis muscle,"subject: 2006,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X27",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007841300981928461,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098370,GSE113165,Homo sapiens,10876X28_2006_old_Female_post_low,vastus lateralis muscle,"subject: 2006,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 10876X28",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007394441343540472,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098371,GSE113165,Homo sapiens,10876X29_2007_old_Female_pre,vastus lateralis muscle,"subject: 2007,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: Not used in Susceptibility Study,hci_id: 10876X29",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0062290309111067595,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098372,GSE113165,Homo sapiens,10876X30_2007_old_Female_post,vastus lateralis muscle,"subject: 2007,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: Not used in Susceptibility Study,hci_id: 10876X30",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.004015046580934247,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098373,GSE113165,Homo sapiens,10876X31_2009_old_Female_pre_high,vastus lateralis muscle,"subject: 2009,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X31",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.006760535336965877,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098374,GSE113165,Homo sapiens,10876X32_2009_old_Female_post_high,vastus lateralis muscle,"subject: 2009,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X32",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.0071807033333454815,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098375,GSE113165,Homo sapiens,10876X33_2011_old_Female_pre_high,vastus lateralis muscle,"subject: 2011,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X33",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.008874301985628767,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098376,GSE113165,Homo sapiens,10876X34_2011_old_Female_post_high,vastus lateralis muscle,"subject: 2011,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 10876X34",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.004421428854207628,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098377,GSE113165,Homo sapiens,10876X35_2012_old_Female_pre,vastus lateralis muscle,"subject: 2012,time: pre bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: Not used in Susceptibility Study,hci_id: 10876X35",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.002062340037139355,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098378,GSE113165,Homo sapiens,10876X36_2012_old_Female_post,vastus lateralis muscle,"subject: 2012,time: post bed rest,age: old,Sex: Female,tissue: vastus lateralis muscle,susceptibility: Not used in Susceptibility Study,hci_id: 10876X36",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.002557064369119039,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3133035,GSE114117,Homo sapiens,mg2,osteogenesis for 2 days under microgravity,"cell type: human bone marrow mesenchymal stem cells,passages: 3,differentiation status: osteogenic differentiation day 2,gravity status: microgravity,tissue: bone",GPL20795,RNA-Seq,transcriptomic,HiSeq X Ten,total RNA,May 07 2018,0.004906813199329188,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM3133037,GSE114117,Homo sapiens,mg7,osteogenesis for 7 days under microgravity,"cell type: human bone marrow mesenchymal stem cells,passages: 3,differentiation status: osteogenic differentiation day 7,gravity status: microgravity,tissue: bone",GPL20795,RNA-Seq,transcriptomic,HiSeq X Ten,total RNA,May 07 2018,0.004437536937535245,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM3133039,GSE114117,Homo sapiens,mg14,osteogenesis for 14 days under microgravity,"cell type: human bone marrow mesenchymal stem cells,passages: 3,differentiation status: osteogenic differentiation day 14,gravity status: microgravity,tissue: bone",GPL20795,RNA-Seq,transcriptomic,HiSeq X Ten,total RNA,May 07 2018,0.0014566573648300376,human_gene_v2.5.h5,2.5,False,True,False,human,val,seen_study
GSM3317070,GSE118001,Mus musculus,micro-gravity R1_1,zygote,strain: C57BL/6,GPL17021,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Aug 01 2018,0.0,mouse_gene_v2.5.h5,2.5,False,True,False,mouse,train,seen_study
GSM3317071,GSE118001,Mus musculus,micro-gravity R1_2,zygote,strain: C57BL/6,GPL17021,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Aug 01 2018,0.00961856209763987,mouse_gene_v2.5.h5,2.5,False,True,False,mouse,train,seen_study
GSM3317072,GSE118001,Mus musculus,micro-gravity R1_3,zygote,strain: C57BL/6,GPL17021,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Aug 01 2018,0.028357579323016684,mouse_gene_v2.5.h5,2.5,False,True,False,mouse,train,seen_study
GSM3615662,GSE126865,Homo sapiens,Subject 11006 Pre,Skeletal muscle biopsy,"group: before bed rest,tissue: Vastus lateralis",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Feb 21 2019,0.01728106951358531,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3615663,GSE126865,Homo sapiens,Subject 11006 Post,Skeletal muscle biopsy,"group: 10 days after bed rest,tissue: Vastus lateralis",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Feb 21 2019,0.006757225271645865,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
