gene_symbol,exon_length
ACE2,9403
ACE2-DT,787
ACE3P,1973
ACER1,1428
ACER2,2773
ACER2P1,823
ACER3,7537
ACER3-AS1,814
ACHE,5050
ACIN1,5530
ACKR1,1368
ACKR2,5950
ACKR3,4254
ACKR4,4108
ACKR4P1,1053
ACLY,5278
ACMSD,2580
ACNATP,1225
ACO1,8801
ACO2,4905
ACO2P1,2194
ACO2P2,2310
ACOD1,2147
ACOT1,1686
ACOT11,8823
ACOT12,2328
ACOT13,4505
ACOT2,1773
ACOT4,1465
ACOT6,1520
ACOT7,2787
ACOT8,1979
ACOT9,7516
ACOX1,7913
ACOX2,3995
ACOX3,6142
ACOXL,5363
ACOXL-AS1,5839
ACP1,3343
ACP2,3991
ACP3,3774
ACP4,1342
ACP5,2798
ACP6,7886
ACP7,2976
ACR,1567
ACRBP,1987
ACRP1,698
ACRV1,1963
ACSBG1,6677
ACSBG2,2778
ACSF2,2623
ACSF3,4814
ACSL1,8460
ACSL3,9753
ACSL3-AS1,537
ACSL3P1,1917
ACSL4,6457
ACSL5,4815
ACSL6,7582
ACSL6-AS1,942
ACSM1,2143
ACSM2A,4162
ACSM2B,3738
ACSM3,5932
ACSM4,2349
ACSM5,4015
ACSM5P1,2438
ACSM6,1675
ACSS1,5854
ACSS2,3118
ACSS3,8625
ACSS3-AS1,882
ACTA1,3680
ACTA2,5269
ACTA2-AS1,2450
ACTB,3629
ACTBL2,2794
ACTBP1,1113
ACTBP11,1126
ACTBP12,418
ACTBP14,1089
ACTBP15,1060
ACTBP16,1069
ACTBP2,1123
ACTBP4,1070
ACTBP6,1090
ACTBP7,1124
ACTBP8,1108
ACTBP9,1099
ACTC1,2411
ACTE1P,3862
ACTG1,4712
ACTG1P1,1129
ACTG1P10,1082
ACTG1P11,1125
ACTG1P12,1166
ACTG1P13,1043
ACTG1P14,1122
ACTG1P15,1063
ACTG1P16,1082
ACTG1P17,5472
ACTG1P18,1143
ACTG1P19,1116
ACTG1P2,1125
ACTG1P20,468
ACTG1P21,1000
ACTG1P22,1099
ACTG1P23,1074
ACTG1P24,877
ACTG1P25,2321
ACTG1P3,1114
ACTG1P4,1122
ACTG1P9,2658
ACTG2,5599
ACTL10,1583
ACTL11P,3959
ACTL6A,1942
ACTL6B,1603
ACTL7A,1491
ACTL7B,1399
ACTL8,2249
ACTL9,1396
ACTMAP,3751
ACTN1,5247
ACTN1-DT,1058
ACTN2,5396
ACTN3,3323
ACTN3-AS1,580
ACTN4,5672
ACTN4P1,1451
ACTN4P2,1892
ACTP1,383
ACTR10,2568
ACTR1A,2907
ACTR1AP1,1126
ACTR1B,2358
ACTR2,3884
ACTR2P1,1165
ACTR2P2,1185
ACTR3,7225
ACTR3-AS1,7193
ACTR3B,2355
ACTR3BP1,1247
ACTR3BP2,1373
ACTR3BP3,979
ACTR3BP4,1244
ACTR3BP5,1479
ACTR3BP6,1338
ACTR3BP7,1241
ACTR3C,4193
ACTR3P2,1257
ACTR3P3,893
ACTR5,2550
ACTR6,2032
ACTR6P1,1104
ACTR8,6509
ACTRT1,1442
ACTRT1P1,1123
ACTRT2,1437
ACTRT3,2312
ACVR1,4826
ACVR1B,5550
ACVR1C,9075
ACVR2A,5721
ACVR2B,11782
ACVR2B-AS1,2517
ACVRL1,5691
ACY1,2375
ACY3,2174
ACYP1,2180
ACYP2,4344
ADA,3680
ADA2,7606
ADAD1,2220
ADAD1P1,1936
ADAD1P2,646
ADAD2,2296
ADAM10,13245
ADAM11,4777
ADAM12,8850
ADAM15,3418
ADAM17,7402
ADAM18,3269
ADAM19,7152
ADAM1A,2129
ADAM1B,2000
ADAM2,2610
ADAM20,2795
ADAM20P1,3733
ADAM20P2,1273
ADAM20P3,2106
ADAM21,3557
ADAM21P1,2311
ADAM22,11363
ADAM23,6660
ADAM24P,2101
ADAM28,7614
ADAM29,3386
ADAM30,2983
ADAM32,2720
ADAM33,3724
ADAM3A,2898
ADAM3B,840
ADAM5,1942
ADAM6,2015
ADAM7,4483
ADAM7-AS1,3617
ADAM7-AS2,1442
ADAM8,3307
ADAM9,6705
ADAMDEC1,2348
ADAMTS1,5261
ADAMTS10,4361
ADAMTS12,8807
ADAMTS13,5580
ADAMTS14,5738
ADAMTS15,6006
ADAMTS16,5823
ADAMTS16-AS1,454
ADAMTS16-DT,7092
ADAMTS17,6485
ADAMTS18,5833
ADAMTS19,6083
ADAMTS19-AS1,4820
ADAMTS2,8585
ADAMTS20,7853
ADAMTS3,6244
ADAMTS4,10349
ADAMTS5,9621
ADAMTS6,7309
ADAMTS7,5561
ADAMTS7P1,4793
ADAMTS7P3,3716
ADAMTS7P4,3611
ADAMTS7P5,1596
ADAMTS8,3628
ADAMTS9,8699
ADAMTS9-AS1,5333
ADAMTS9-AS2,14305
ADAMTSL1,10576
ADAMTSL2,5428
ADAMTSL3,7756
ADAMTSL4,4796
ADAMTSL4-AS1,1914
ADAMTSL4-AS2,665
ADAMTSL5,2979
ADAP1,2839
ADAP2,3608
ADAR,8566
ADARB1,7878
ADARB2,8713
ADARB2-AS1,1980
ADAT1,5888
ADAT2,6784
ADAT3,1756
ADCK1,3556
ADCK2,3178
ADCK5,2152
ADCY1,13090
ADCY10,5843
ADCY10P1,5936
ADCY2,7105
ADCY3,5651
ADCY4,3759
ADCY5,8041
ADCY6,7266
ADCY6-DT,2042
ADCY7,6342
ADCY8,5100
ADCY9,8150
ADCYAP1,3543
ADCYAP1R1,6836
ADD1,5915
ADD2,11505
ADD3,6642
ADD3-AS1,4660
ADGB,6810
ADGB-DT,2527
ADGRA1,4852
ADGRA1-AS1,3739
ADGRA2,6980
ADGRA3,5917
ADGRA3P1,1450
ADGRB1,6241
ADGRB2,5811
ADGRB3,6314
ADGRB3-DT,5631
ADGRD1,6810
ADGRD1-AS1,1277
ADGRD1-AS2,2028
ADGRD2,3515
ADGRE1,3233
ADGRE2,7491
ADGRE3,4020
ADGRE4P,1810
ADGRE5,3780
ADGRF1,6246
ADGRF2P,2013
ADGRF3,5289
ADGRF4,3515
ADGRF5,7640
ADGRF5-AS1,781
ADGRF5P1,1135
ADGRF5P2,1659
ADGRG1,8531
ADGRG2,5614
ADGRG3,2774
ADGRG4,10076
ADGRG5,4182
ADGRG6,7029
ADGRG7,3207
ADGRL1,7910
ADGRL1-AS1,2895
ADGRL2,11373
ADGRL3,13991
ADGRL3-AS1,1085
ADGRL4,4214
ADGRV1,19857
ADH1A,1879
ADH1B,4480
ADH1C,2380
ADH4,2151
ADH5,2732
ADH5P2,1124
ADH5P3,1137
ADH5P4,1110
ADH5P5,352
ADH6,4019
ADH7,2510
ADHFE1,2100
ADI1,5287
ADI1P1,538
ADI1P2,429
ADI1P3,470
ADIG,937
ADIPINT,4861
ADIPOQ,5253
ADIPOQ-AS1,3443
ADIPOR1,4472
ADIPOR1P1,1074
ADIPOR1P2,1154
ADIPOR2,5243
ADIRF,654
ADIRF-AS1,4719
ADISSP,2618
ADK,3040
ADM,2591
ADM-DT,2175
ADM2,4289
ADM5,1249
ADNP,8880
ADNP-AS1,2939
ADNP2,5444
ADO,3760
ADORA1,4569
ADORA1-AS1,353
ADORA1-AS2,2819
ADORA2A,10594
ADORA2A-AS1,4025
ADORA2B,1522
ADORA2BP1,842
ADORA3,1821
ADPGK,2689
ADPGK-AS1,5423
ADPRH,5058
ADPRHL1,10872
ADPRM,2495
ADPRS,1665
ADRA1A,5769
ADRA1B,2824
ADRA1D,2942
ADRA2A,3879
ADRA2B,3696
ADRA2C,2179
ADRB1,3039
ADRB2,2013
ADRB3,2585
ADRM1,2959
ADSL,4903
ADSS1,2534
ADSS2,2555
ADTRP,1904
AEBP1,4363
AEBP2,6062
AEN,5885
AFAP1,7984
AFAP1-AS1,12180
AFAP1L1,6168
AFAP1L2,5512
AFDN,10155
AFDN-DT,7086
AFF1,10023
AFF2,14008
AFF2-IT1,443
AFF3,10283
AFF4,9913
AFF4-DT,1704
AFF4P1,889
AFG1L,5256
AFG2A,8196
AFG2B,2561
AFG3L1P,5431
AFG3L2,3673
AFG3L2P1,1763
AFM,2991
AFMID,2479
AFP,2426
AFTPH,5212
AFTPH-DT,2163
AGA,2135
AGA-DT,5953
AGAP1,12947
AGAP1-IT1,715
AGAP10P,2418
AGAP11,1740
AGAP12P,3147
AGAP13P,2061
AGAP14P,2060
AGAP2,7378
AGAP2-AS1,1500
AGAP3,5735
AGAP4,2853
AGAP5,2727
AGAP6,2983
AGAP7P,2062
AGAP9,2387
AGBL1,12723
AGBL1-AS1,2230
AGBL2,3927
AGBL3,3684
AGBL4,3990
AGBL4-AS1,566
AGBL4-IT1,514
AGBL5,3938
AGBL5-AS1,407
AGBL5-IT1,339
AGER,1788
AGFG1,8819
AGFG2,5006
AGGF1,4822
AGGF1P1,2073
AGGF1P10,2191
AGGF1P2,2106
AGGF1P3,1213
AGGF1P4,801
AGGF1P5,919
AGGF1P6,976
AGGF1P7,913
AGGF1P8,1000
AGGF1P9,913
AGK,7440
AGK-DT,3772
AGKP1,1263
AGKP2,1262
AGL,8276
AGMAT,3122
AGMO,2478
AGO1,13919
AGO2,14595
AGO3,20591
AGO4,7272
AGPAT1,4263
AGPAT2,1839
AGPAT3,8027
AGPAT4,8710
AGPAT5,5583
AGPAT5P1,1019
AGPS,10373
AGR2,4882
AGR3,817
AGRN,7996
AGRP,614
AGT,7028
AGTPBP1,5435
AGTR1,4690
AGTR2,2862
AGTRAP,1317
AGXT,4907
AGXT2,3404
AHCTF1,9298
AHCTF1P1,6821
AHCY,2481
AHCYL1,4733
AHCYL2,5819
AHCYP2,1300
AHCYP3,1279
AHCYP4,1315
AHCYP5,1238
AHCYP7,1308
AHCYP8,209
AHDC1,7107
AHI1,14262
AHI1-DT,13056
AHNAK,19220
AHNAK2,18335
AHR,7636
AHRR,8545
AHSA1,2285
AHSA2P,6903
AHSG,1924
AHSP,661
AICDA,3059
AIDA,3104
AIDAP1,917
AIDAP2,919
AIDAP3,997
AIF1,774
AIF1L,3818
AIFM1,5194
AIFM1P1,1841
AIFM2,12257
AIFM3,3696
AIG1,7933
AIG1P1,148
AIM2,3116
AIMP1,8474
AIMP1P1,937
AIMP1P2,312
AIMP2,1366
AIP,1600
AIPL1,3756
AIRE,2690
AIRIM,4131
AIRN,4506
AJAP1,14519
AJM1,4642
AJUBA,4679
AJUBA-DT,4126
AK1,3956
AK2,8949
AK2P2,405
AK3,4487
AK3P2,429
AK3P3,664
AK3P4,583
AK3P5,519
AK3P6,672
AK3P7,279
AK4,7627
AK4P1,672
AK4P2,670
AK4P3,1923
AK4P4,646
AK4P5,634
AK4P6,528
AK5,4524
AK5-AS1,1082
AK6,2140
AK6P1,478
AK6P2,471
AK7,5000
AK8,1962
AK9,9384
AKAIN1,3117
AKAP1,7361
AKAP1-DT,2498
AKAP10,4541
AKAP11,10496
AKAP12,8810
AKAP13,16745
AKAP13-AS1,660
AKAP14,1209
AKAP17A,9846
AKAP17BP,2719
AKAP3,5844
AKAP4,3009
AKAP5,7512
AKAP6,17783
AKAP7,3836
AKAP8,3707
AKAP8L,2371
AKAP8P1,1349
AKAP9,14946
AKIP1,2750
AKIRIN1,2692
AKIRIN1P1,544
AKIRIN1P2,570
AKIRIN2,1920
AKIRIN2P1,352
AKNA,8428
AKNAD1,3265
AKR1A1,2636
AKR1B1,1493
AKR1B10,1726
AKR1B10P1,942
AKR1B10P2,927
AKR1B15,2022
AKR1B1P1,956
AKR1B1P2,934
AKR1B1P3,588
AKR1B1P4,922
AKR1B1P5,934
AKR1B1P6,839
AKR1B1P7,952
AKR1B1P8,936
AKR1C1,6937
AKR1C2,4045
AKR1C3,1648
AKR1C4,3159
AKR1C5P,609
AKR1C6P,983
AKR1C7P,895
AKR1C8,1315
AKR1D1,3443
AKR1D1P1,936
AKR1E2,1701
AKR7A2,3334
AKR7A2P1,915
AKR7A2P2,959
AKR7A3,1411
AKR7L,1313
AKT1,5991
AKT1S1,7575
AKT2,14880
AKT3,13269
AKT3-IT1,517
AKTIP,6125
AKTIPP1,884
AKTIPP2,877
AKTIPP3,555
ALAD,5504
ALAS1,3502
ALAS2,2056
ALB,4184
ALCAM,5020
ALDH16A1,3315
ALDH18A1,3878
ALDH1A1,2646
ALDH1A2,4340
ALDH1A2-AS1,874
ALDH1A3,5121
ALDH1A3-AS1,5239
ALDH1B1,3350
ALDH1L1,5192
ALDH1L1-AS1,5251
ALDH1L1-AS2,3789
ALDH1L2,8308
ALDH2,9974
ALDH3A1,3250
ALDH3A2,4909
ALDH3B1,4087
ALDH3B2,2707
ALDH4A1,3792
ALDH5A1,5341
ALDH6A1,5835
ALDH7A1,5442
ALDH7A1P1,1533
ALDH7A1P2,621
ALDH7A1P3,345
ALDH7A1P4,178
ALDH8A1,2741
ALDH9A1,2430
ALDOA,2314
ALDOAP1,1078
ALDOAP2,1076
ALDOB,8363
ALDOC,1867
ALDOC-AS1,298
ALG1,5267
ALG10,3011
ALG10B,10062
ALG11,9146
ALG12,9769
ALG13,6834
ALG13-AS1,195
ALG14,9375
ALG1L10P,430
ALG1L11P,450
ALG1L12P,434
ALG1L13P,584
ALG1L14P,434
ALG1L15P,794
ALG1L1P,893
ALG1L2,1008
ALG1L3P,765
ALG1L5P,771
ALG1L6P,758
ALG1L7P,768
ALG1L8P,760
ALG1L9P,7563
ALG2,2970
ALG3,2143
ALG3P1,1114
ALG5,4226
ALG6,3325
ALG8,5628
ALG9,6881
ALG9-IT1,684
ALK,6615
ALKAL1,1140
ALKAL2,3704
ALKBH1,2711
ALKBH2,2068
ALKBH3,1844
ALKBH3-AS1,2084
ALKBH4,2094
ALKBH5,3347
ALKBH6,1829
ALKBH7,1235
ALKBH8,5055
ALLC,1441
ALMS1,13075
ALMS1-IT1,2105
ALMS1P1,6738
ALOX12,2578
ALOX12B,2515
ALOX12P1,1229
ALOX12P2,4840
ALOX15,3026
ALOX15B,2745
ALOX15P1,984
ALOX15P2,1897
ALOX5,2675
ALOX5AP,2184
ALOXE3,3739
ALOXE3P1,1305
ALPG,2492
ALPI,3241
ALPK1,5886
ALPK2,7437
ALPK3,10418
ALPL,2686
ALPP,2754
ALS2,15068
ALS2CL,6445
ALX1,1332
ALX3,1976
ALX4,5727
ALYREF,1097
AMACR,4162
AMANZI,3868
AMBN,2005
AMBP,2115
AMBRA1,5867
AMD1,6713
AMD1P1,922
AMD1P2,1984
AMD1P3,994
AMD1P4,1345
AMDHD1,2256
AMDHD2,3301
AMELX,835
AMELY,968
AMER1,8407
AMER2,10610
AMER3,6438
AMFR,3610
AMH,1809
AMHR2,2230
AMIGO1,5141
AMIGO2,4622
AMIGO3,2856
AMMECR1,5914
AMMECR1-IT1,561
AMMECR1L,5234
AMMECR1LP1,841
AMN,1550
AMN1,2528
AMN1-AS1,2088
AMOT,8518
AMOTL1,9020
AMOTL2,5160
AMPD1,2407
AMPD2,5175
AMPD3,6814
AMPH,3884
AMT,2078
AMTN,1009
AMY1A,2821
AMY1B,2347
AMY1C,2158
AMY2A,1584
AMY2B,2186
AMYP1,1023
AMZ1,8955
AMZ2,4987
AMZ2P1,2840
AMZ2P2,1057
AMZ2P3,548
ANAPC1,7964
ANAPC10,3007
ANAPC10P1,556
ANAPC11,4231
ANAPC13,4013
ANAPC13P1,220
ANAPC15,3568
ANAPC15P1,395
ANAPC15P2,344
ANAPC16,7643
ANAPC1P1,2145
ANAPC1P2,3527
ANAPC1P3,312
ANAPC1P4,2070
ANAPC1P5,601
ANAPC1P6,831
ANAPC2,3352
ANAPC4,4576
ANAPC5,2788
ANAPC7,3791
ANG,3902
ANGEL1,5945
ANGEL2,4793
ANGPT1,4369
ANGPT2,6794
ANGPT4,4692
ANGPTL1,5217
ANGPTL2,3533
ANGPTL3,3865
ANGPTL4,2013
ANGPTL5,2621
ANGPTL6,2717
ANGPTL7,2224
ANGPTL8,945
ANHX,2118
ANK1,9485
ANK2,18125
ANK2-AS1,3435
ANK3,19460
ANK3-DT,434
ANKAR,4605
ANKDD1A,4238
ANKDD1B,3214
ANKEF1,5429
ANKFN1,10121
ANKFY1,7762
ANKH,8306
ANKH-DT,382
ANKHD1,9977
ANKHD1-DT,2294
ANKHD1-EIF4EBP3,8246
ANKIB1,7432
ANKK1,2553
ANKLE1,3221
ANKLE2,6530
ANKMY1,6557
ANKMY2,3007
ANKRA2,2402
ANKRD1,1798
ANKRD10,3029
ANKRD10-IT1,800
ANKRD11,14684
ANKRD11P1,6848
ANKRD11P2,988
ANKRD12,11624
ANKRD13A,4309
ANKRD13B,3712
ANKRD13C,5928
ANKRD13C-DT,1007
ANKRD13D,2424
ANKRD16,3745
ANKRD17,11287
ANKRD17-DT,3413
ANKRD18A,4160
ANKRD18B,4163
ANKRD18CP,2980
ANKRD18DP,1975
ANKRD18EP,2632
ANKRD18FP,709
ANKRD19P,3366
ANKRD2,1637
ANKRD20A1,3895
ANKRD20A10P,1515
ANKRD20A11P,3717
ANKRD20A17P,1330
ANKRD20A18P,492
ANKRD20A19P,295
ANKRD20A21P,3588
ANKRD20A2P,4194
ANKRD20A3P,4230
ANKRD20A4P,4194
ANKRD20A5P,6013
ANKRD20A6P,204
ANKRD20A7P,4266
ANKRD20A8P,3686
ANKRD20A9P,2978
ANKRD22,3858
ANKRD23,4247
ANKRD24,4864
ANKRD26,7884
ANKRD26P1,966
ANKRD26P2,1710
ANKRD26P3,4356
ANKRD26P4,950
ANKRD27,7203
ANKRD28,8344
ANKRD29,4236
ANKRD30A,5021
ANKRD30B,5936
ANKRD30BL,1564
ANKRD30BP1,2186
ANKRD30BP2,1610
ANKRD30BP3,1070
ANKRD31,6207
ANKRD33,1895
ANKRD33B,9586
ANKRD33B-AS1,522
ANKRD33BP1,1427
ANKRD33BP10,1459
ANKRD33BP2,3707
ANKRD33BP3,1444
ANKRD33BP5,1516
ANKRD33BP6,1582
ANKRD33BP7,1454
ANKRD33BP8,1178
ANKRD33BP9,1677
ANKRD34A,3948
ANKRD34B,7370
ANKRD34C,5506
ANKRD34C-AS1,9468
ANKRD35,3396
ANKRD36,7907
ANKRD36B,6091
ANKRD36BP1,1779
ANKRD36BP2,7627
ANKRD36C,7636
ANKRD36P1,659
ANKRD36P2,242
ANKRD37,784
ANKRD39,892
ANKRD39P1,426
ANKRD40,4166
ANKRD40CL,2039
ANKRD42,6115
ANKRD42-DT,2897
ANKRD44,9538
ANKRD44-AS1,797
ANKRD44-DT,1016
ANKRD44-IT1,1850
ANKRD45,2660
ANKRD46,8941
ANKRD49,3159
ANKRD49P1,714
ANKRD49P2,533
ANKRD49P3,715
ANKRD49P4,713
ANKRD50,10267
ANKRD52,8681
ANKRD53,2185
ANKRD54,2838
ANKRD54P1,471
ANKRD55,2658
ANKRD6,7523
ANKRD60,3407
ANKRD61,1423
ANKRD62,4754
ANKRD62P1,1623
ANKRD62P1-PARP4P3,1181
ANKRD63,4693
ANKRD65,5427
ANKRD65-AS1,1222
ANKRD66,3287
ANKRD7,1445
ANKRD9,8058
ANKS1A,10054
ANKS1B,8109
ANKS3,3138
ANKS4B,4323
ANKS6,7488
ANKUB1,2736
ANKZF1,2696
ANLN,4974
ANO1,5722
ANO1-AS1,646
ANO10,5686
ANO2,3781
ANO3,7301
ANO3-AS1,1766
ANO4,5091
ANO5,7066
ANO6,7264
ANO7,5161
ANO7L1,1720
ANO8,4520
ANO9,3268
ANOS1,6323
ANOS2P,1816
ANP32A,2782
ANP32AP1,737
ANP32B,1747
ANP32BP1,737
ANP32BP2,545
ANP32BP3,706
ANP32CP,705
ANP32D,1064
ANP32E,3650
ANPEP,4189
ANTKMT,1129
ANTXR1,7805
ANTXR2,8753
ANTXRL,2207
ANTXRLP1,1829
ANXA1,3626
ANXA10,1441
ANXA11,9507
ANXA13,1600
ANXA2,6355
ANXA2P1,926
ANXA2P2,1020
ANXA2P3,1008
ANXA2R,2234
ANXA2R-AS1,5605
ANXA2R-OT1,13289
ANXA3,2245
ANXA4,9573
ANXA5,2585
ANXA6,3753
ANXA7,4886
ANXA8,3994
ANXA8L1,2217
ANXA9,2970
AOAH,6192
AOAH-IT1,573
AOC1,3409
AOC2,2677
AOC3,4404
AOC4P,3187
AOPEP,3914
AOPEP-AS1,2250
AOX1,5624
AOX2P,3284
AOX3P,2160
AOX3P-AOX2P,4471
AP1AR,6276
AP1AR-DT,2036
AP1B1,4979
AP1B1P1,1298
AP1B1P2,106
AP1G1,8745
AP1G2,3440
AP1G2-AS1,3243
AP1M1,13048
AP1M2,1758
AP1M2P1,968
AP1S1,1431
AP1S2,5475
AP1S2P1,379
AP1S3,5538
AP2A1,3511
AP2A2,4908
AP2B1,6164
AP2B1P1,2796
AP2M1,3222
AP2S1,1312
AP3B1,16022
AP3B2,8910
AP3D1,5352
AP3M1,5944
AP3M2,3889
AP3S1,1992
AP3S1P1,562
AP3S2,7164
AP4B1,4250
AP4B1-AS1,4517
AP4E1,6766
AP4M1,5423
AP4S1,10260
AP5B1,6980
AP5M1,12184
AP5S1,6741
AP5Z1,5888
APAF1,7462
APBA1,6794
APBA2,7835
APBA3,2407
APBB1,4562
APBB1IP,4176
APBB2,9472
APBB3,2158
APC,11480
APC2,11874
APCDD1,3803
APCDD1L,4536
APCDD1L-DT,6242
APCS,925
APEH,3448
APELA,3462
APEX1,1891
APEX2,3362
APH1A,2360
APH1B,4179
API5,4105
API5P1,1510
API5P2,1498
APIP,2740
APLF,3843
APLN,3512
APLNR,3660
APLP1,3092
APLP2,4207
APMAP,2413
APOA1,1402
APOA1-AS,956
APOA2,901
APOA4,1471
APOA5,3192
APOB,14828
APOBEC1,894
APOBEC2,3842
APOBEC3A,1479
APOBEC3AP1,287
APOBEC3B,1896
APOBEC3B-AS1,691
APOBEC3C,2677
APOBEC3D,2675
APOBEC3F,5018
APOBEC3G,1780
APOBEC3H,1143
APOBEC4,2782
APOBR,3832
APOC1,1929
APOC1P1,1155
APOC2,3741
APOC3,3469
APOC4,775
APOC4-APOC2,680
APOD,1237
APOE,2407
APOF,1789
APOH,1690
APOL1,3055
APOL2,6275
APOL3,6521
APOL4,4002
APOL5,1438
APOL6,10242
APOLD1,4934
APOM,1237
APONP,514
APOO,3130
APOOL,6495
APOOP1,592
APOOP2,539
APOOP3,586
APOOP4,597
APOOP5,566
APP,4128
APP-DT,4844
APPAT,6247
APPBP2,6516
APPBP2-DT,2394
APPL1,6404
APPL2,5036
APRG1,7366
APRT,1392
APTR,5773
APTX,4007
AQP1,3319
AQP10,2292
AQP11,2840
AQP12A,1063
AQP12B,1120
AQP2,4180
AQP3,1825
AQP4,5684
AQP4-AS1,12823
AQP5,1510
AQP5-AS1,2217
AQP6,3122
AQP7,4364
AQP7B,4448
AQP7P1,1045
AQP7P2,1041
AQP7P3,1041
AQP7P4,1042
AQP7P5,1049
AQP8,1400
AQP9,3241
AQR,9620
AR,12366
ARAF,4834
ARAFP1,605
ARAFP2,559
ARAFP3,490
ARAP1,8957
ARAP1-AS1,388
ARAP1-AS2,1824
ARAP2,7854
ARAP3,5712
ARB2A,7424
ARB2BP,1089
ARC,2950
ARCN1,4240
AREG,1713
AREL1,5961
ARF1,5940
ARF1P1,544
ARF1P2,538
ARF1P3,511
ARF3,5417
ARF4,1954
ARF4P1,541
ARF4P2,526
ARF4P3,509
ARF4P4,520
ARF5,1190
ARF6,4010
ARFGAP1,4323
ARFGAP2,3487
ARFGAP3,2767
ARFGEF1,7509
ARFGEF1-DT,3343
ARFGEF2,9887
ARFGEF3,14916
ARFIP1,8683
ARFIP2,4634
ARFRP1,3726
ARG1,1659
ARG2,1911
ARGFX,5047
ARGFXP1,961
ARGFXP2,949
ARGLU1,3480
ARGLU1-DT,9530
ARHGAP1,4704
ARHGAP10,3527
ARHGAP11A,6390
ARHGAP11A-DT,6247
ARHGAP11A-SCG5,3763
ARHGAP11B,3347
ARHGAP11B-DT,8683
ARHGAP12,5294
ARHGAP15,4454
ARHGAP15-AS1,5063
ARHGAP16P,1548
ARHGAP17,3591
ARHGAP18,4484
