fold,gene,standardized_coefficient,interpretation
GSE298393__to__GSE234465,RCBTB2,0.002632437762985918,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,FAM89B,-0.002631654403493736,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,SBK1,0.0026302465664323833,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,TEDC2,0.002628028742969104,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,HTR2B,-0.0026248291145429914,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,KY,0.002623543530495398,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,FGF9,-0.002619650803114955,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,NAPRT,0.002618172509880949,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,FBXL5,-0.0026171598089365137,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,INHBE,0.002614623252060013,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,OSBPL6,0.0026105172046879334,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,ILK,-0.0026079725596123613,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,KCNS3,-0.0026055073520947288,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,PACSIN3,-0.0026049205330822348,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,GAS1,-0.0026005492811567656,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,KLF2,-0.002599904391079412,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,PPDPF,-0.002599892351806867,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,RGS4,-0.0025997436294839917,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,HSPB1,0.0025996905603484885,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,SLC38A3,0.0025992521485165487,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,RCSD1,0.002594342291125032,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,GAS8,0.0025938877035029473,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,KLF6,-0.002592898462780651,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,ANKRD23,-0.0025903459788181923,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,LAD1,0.002589052843602744,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,CPPED1,0.002586402495898746,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,CHN2,-0.0025863461860825584,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,DLL1,0.002584832444599863,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,KIF24,0.002582709919392796,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,ZNF280B,0.002576681710872386,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,SEPTIN5,-0.0025753662069745334,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,BAMBI,-0.002575139509612115,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,CAV2,-0.0025731328934818377,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,HYAL4,0.002572818895571716,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,ICAM1,-0.0025702098612396546,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,BICDL1,-0.0025674168137014165,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,IER5L,-0.0025657718334684302,training association; not BridgeRNA attribution or causal effect
