evaluation,fold,role,id
within_flight_pool,GSE298393__YA__to__OS,test,GSE298393:GSM9013412
within_flight_pool,GSE298393__OS__to__YA,train,GSE298393:GSM9013398
within_flight_pool,GSE298393__OS__to__YA,train,GSE298393:GSM9013399
within_flight_pool,GSE298393__OS__to__YA,train,GSE298393:GSM9013400
within_flight_pool,GSE298393__OS__to__YA,train,GSE298393:GSM9013410
within_flight_pool,GSE298393__OS__to__YA,train,GSE298393:GSM9013411
within_flight_pool,GSE298393__OS__to__YA,train,GSE298393:GSM9013412
within_flight_pool,GSE298393__OS__to__YA,test,GSE298393:GSM9013395
within_flight_pool,GSE298393__OS__to__YA,test,GSE298393:GSM9013396
within_flight_pool,GSE298393__OS__to__YA,test,GSE298393:GSM9013397
within_flight_pool,GSE298393__OS__to__YA,test,GSE298393:GSM9013404
within_flight_pool,GSE298393__OS__to__YA,test,GSE298393:GSM9013405
within_flight_pool,GSE298393__OS__to__YA,test,GSE298393:GSM9013406
