Gene name	Human gene name
Gm23003	RNU6-481P
Ccdc188	CCDC188
Adgrg7	ADGRG7
Gpr15	GPR15
Gm23787	SNORD114-14
Gm25224	SNORD114-30
Mir299a	MIR299
Mir323	MIR323A
Mir494	MIR494
Mir381	MIR381
Mir382	MIR382
Mir134	MIR134
Mir668	MIR668
Mir154	MIR154
Mir496a	MIR496
Mir377	MIR377
Mir541	MIR541
Mir412	MIR412
Mir410	MIR410
Gabrr3	GABRR3
Epha6	EPHA6
Gm24164	RNU6-290P
Stx19	STX19
Iglv3	IGLV4-3
Gm54435	RN7SKP57
Gm54481	RN7SKP183
Csnk2a2ip	CSNK2A2IP
Ttc6	TTC6
Gm22448	RNU6-24P
Gm22973	RNU2-23P
Irf2bpl	IRF2BPL
Mir203	MIR203B
Kif26a	KIF26A
Samsn1	SAMSN1
H1f2	H1-2
H3c2	H3C14
H1f1	H1-1
Trim38	TRIM38
Gm54838	RN7SKP236
Samd15	SAMD15
Gm23104	RNU6-882P
Slc17a1	SLC17A1
Cldn17	CLDN17
Cldn8	CLDN8
Krtap24-1	KRTAP24-1
Gm54874	RNU6-542P
Krtap26-1	KRTAP26-1
Krtap27-1	KRTAP27-1
Gm23059	RNU6-240P
Krtap15-1	KRTAP15-1
Gm54555	RN7SKP64
H2bc1	H2BC1
H2ac1	H2AC1
Fscb	FSCB
Sox11	SOX11
Slx4	SLX4
Gm25970	SNORD127
Ighe	IGHE
Gm22013	RNU6-248P
Gm54563	RN7SKP43
Dnase1	DNASE1
Hdgfl1	HDGFL1
Ighm	IGHM
Gm25599	RNU6-758P
Gm55001	RNU6-889P
Map3k13	MAP3K13
Gm26159	RNU6-176P
Crygs	CRYGS
Tekt5	TEKT5
Snord2	SNORD2
Gm24201	SNORA63B
Gm26447	SNORA63
Gm24616	SNORA4
Gm55086	RN7SKP265
Rtp1	RTP1
Mir28a	MIR28
Gm24145	RNU1-23P
Sox4	SOX4
Gm24928	RNU6-47P
Tmem207	TMEM207
Gm23206	RNU2-21P
Uts2b	UTS2B
Mir193b	MIR193B
Mir365-1	MIR365A
Rn7s1	RN7SL1
Mgat2	MGAT2
Fam43a	FAM43A
Meltf	MELTF
Wdr5b	WDR5B
Gm54824	RN7SKP268
Golgb1	GOLGB1
Htr1a	HTR1A
Gm24527	RNU6-804P
Mir1306	MIR1306
Mir3618	MIR3618
Mir185	MIR185
Muc4	MUC4
Pou5f2	POU5F2
Mir99a	MIR99A
Mirlet7c-1	MIRLET7C
Calml3	CALML3
Tubal3	TUBAL3
Ucn3	UCN3
Olig1	OLIG1
Gm22126	RNVU1-1
Ppp1r3g	PPP1R3G
Mir155	MIR155
Gm54861	SNORA62
Cox17	COX17
Mir582	MIR582
Bcl6	BCL6
Actbl2	ACTBL2
Cldn5	CLDN5
Gp1bb	GP1BB
Gm22500	RNU6-754P
Prm3	PRM3
Gm26403	RNU6-1102P
Pde6a	PDE6A
Ripk4	RIPK4
C2cd2	C2CD2
Mir301b	MIR301B
Gm55230	RNU6-1098P
Gm24507	SCARNA18
Mir1224	MIR1224
Itga2	ITGA2
Gm26109	SNORD63
Gm23205	RNU6-142P
Gm55256	RN7SKP233
Snord66	SNORD66
Smim32	SMIM32
Spz1	SPZ1
Mtx3	MTX3
Col8a1	COL8A1
LINC03051	LINC03051
Edaradd	EDARADD
Gm22543	RNU6-539P
Prr16	PRR16
Gm25810	RNU6-398P
Mex3c	MEX3C
Chst9	CHST9
Dnd1	DND1
Tex51	TEX51
Pudp	PUDP
Pcdha11	PCDHA11
Snora47	SNORA47
Sv2c	SV2C
Map3k2	MAP3K2
Mir7-1	MIR7-1
Slc28a3	SLC28A3
Smim33	SMIM33
4930503L19Rik	C18orf54
Gm22628	RNU6-31P
Gm23579	RNU6-345P
Gas1	GAS1
Mir23b	MIR23B
Mir27b	MIR27B
Mir24-1	MIR24-1
Gm23955	RNU6-420P
Neurog1	NEUROG1
Il9	IL9
Nkapl	NKAPL
Dnah11	DNAH11
Or2b6	OR2B6
H1f5	H1-5
Trgv4	TRGV11
Ferd3l	FERD3L
H3c8	H3C3
H2bc9	H2BC14
H1f3	H1-3
Gm47290	RNU6-174P
Prps1l1	PRPS1L1
H1f4	H1-4
H4c3	H4C11
H1f6	H1-6
Agr3	AGR3
Gcm2	GCM2
Amer1	AMER1
Sycp2l	SYCP2L
Gpr135	GPR135
Dym	DYM
Mir874	MIR874
Hnrnpa0	HNRNPA0
Six6	SIX6
Six4	SIX4
Mir221	MIR221
Mir222	MIR222
Gphb5	GPHB5
Gm14569	KIAA1210
Nhs	NHS
Gm23794	RNU6-827P
Foxd1	FOXD1
Tmem174	TMEM174
Gm26454	RNU6-953P
Foxg1	FOXG1
Mirlet7d	MIRLET7D
Mirlet7a-1	MIRLET7A1
Gm54984	RNU6-664P
Gm55002	RNU6-728P
Mroh2b	MROH2B
Mir342	MIR342
Gm25652	RNU6-597P
Snord72	SNORD72
Mir345	MIR345
Mir33	MIR33A
Mir770	MIR770
Mir337	MIR337
Mir665	MIR665
Mir431	MIR431
Mir433	MIR433
Mir127	MIR127
Fer1l6	FER1L6
Gpx6	GPX6
Gm54392	RN7SKP44
Mir370	MIR370
Gm24564	SNORD113-2
Gm55109	SNORD113-4
Gm55110	SNORD113-9
Trmt12	TYW2
Gm23676	RNU6-231P
Gm23167	RNU6-915P
Atg12	ATG12
Rhob	RHOB
Neto1	NETO1
Foxq1	FOXQ1
Foxc1	FOXC1
Pnpla5	PNPLA5
Msgn1	MSGN1
Rad51ap2	RAD51AP2
Tceanc	TCEANC
Il7r	IL7R
Or9s18	OR9H1
F9	F9
Nhlrc1	NHLRC1
Gm54446	RNU1-64P
Rnf113a2	RNF113A
Dicer1	DICER1
Gm25394	SNORA84
Hhla1	HHLA1
Pfn3	PFN3
Dok3	DOK3
Kcnq3	KCNQ3
Ldlrad4	LDLRAD4
Nap1l2	NAP1L2
Slc26a3	SLC26A3
Tg	TG
Dcc	DCC
Kcnf1	KCNF1
Pard6g	PARD6G
Dio3	DIO3
Ttc39c	TTC39C
Trgv6	TRGV9
Ddx46	DDX46
Irf4	IRF4
Selenoo	SELENOO
Hus1b	HUS1B
Gm22199	Y_RNA
Nedd4l	NEDD4L
Mir9-2	MIR9-2
Mir30b	MIR30B
Mir30d	MIR30D
Or5a21	OR5A2
Riox1	RIOX1
Gm23980	RNU1-15P
Heatr4	HEATR4
Pnma1	PNMA1
Gm23217	RNU6-3P
Snora28	SNORA28
Klhdc7b	KLHDC7B
Dnah5	DNAH5
Gm23732	RNU6-880P
Mir374b	MIR374B
Mir374c	MIR374A
Zcchc13	ZCCHC13
Gm22663	RNU6-527P
Gpr33	GPR33
Insm2	INSM2
Clec14a	CLEC14A
Spin4	SPIN4
Itih6	ITIH6
Mir151	MIR151A
Shank3	SHANK3
Nap1l3	NAP1L3
Gm4984	MPC1L
Gpr20	GPR20
Asap2	ASAP2
Tas2r119	TAS2R1
Snord123	SNORD123
Gm54682	RNA5SP535
Tspyl5	TSPYL5
Gm22208	RNU6-1079P
Gm54754	RN7SKP9
Mageh1	MAGEH1
Chst7	CHST7
Gspt2	GSPT2
Odf1	ODF1
Arhgap6	ARHGAP6
Gm22766	RNU6-268P
Gm22004	RNU6-560P
Gm54849	RN7SKP103
Gm25007	U2
Gm23185	RNU6-1186P
Slc30a8	SLC30A8
Tmem35a	TMEM35A
Colec10	COLEC10
Fam186b	FAM186B
Efhc2	EFHC2
Ldoc1	LDOC1
Zfp92	ZFP92
Thoc2	THOC2
Krt75	KRT75
Krt71	KRT71
Krt1	KRT1
Krt76	KRT76
Krt4	KRT4
Krt79	KRT79
Krt78	KRT78
Hoxc4	HOXC4
Vsig4	VSIG4
Gm55359	MIURF
Gm55407	RN7SKP68
Mroh6	MROH6
Mir192	MIR192
Tigd5	TIGD5
Cdc42bpg	CDC42BPG
Eppk1	EPPK1
Gata1	GATA1
Krt85	KRT85
Krt84	KRT84
Krt82	KRT82
Rax	RAX
Ndst1	NDST1
Hoxc13	HOXC13
Hoxc11	HOXC11
Tubb6	TUBB6
Hoxc5	HOXC5
Mir196a-2	MIR196A2
Dcp2	DCP2
Ar	AR
Dtna	DTNA
Ccdc184	CCDC184
Diaph2	DIAPH2
H1f7	H1-7
Or8s16	OR8S1
Nptxr	NPTXR
Snord83b	SNORD83B
Gm55357	SNORD83A
Gm24204	RNU6-183P
Wnt1	WNT1
Mir146b	MIR146B
2310034G01Rik	C10orf95
Grhl2	GRHL2
Cblif	CBLIF
Or10v1	OR10V1
Or4d11	OR4D11
Krt7	KRT7
Slc22a12	SLC22A12
Foxb2	FOXB2
Gm25897	RNU6-1114P
Rtl6	RTL6
Npff	NPFF
Gm25141	RNU6-105P
Scgb2a2	SCGB2A2
Sash3	SASH3
Or5bs2	OR5BS1
Lalba	LALBA
Snora34	SNORA2C
Snora2b	SNORA2B
Tceal1	TCEAL1
Tbc1d8b	TBC1D8B
Mirlet7c-2	MIRLET7A3
Pkdrej	PKDREJ
Best1	BEST1
Mospd1	MOSPD1
Gm25855	SNORD25
Gm25894	SNORD26
Gm24452	SNORD27
Gm24453	SNORA108
Gm22680	SNORD30
Men1	MEN1
Cask	CASK
Mrpl16	MRPL16
Zdhhc24	ZDHHC24
Marveld1	MARVELD1
Npas4	NPAS4
Carns1	CARNS1
Sorcs3	SORCS3
Pik3ap1	PIK3AP1
Prlhr	PRLHR
Btk	BTK
Macrod1	MACROD1
Usp51	USP51
Rai2	RAI2
Nexmif	NEXMIF
Dach2	DACH2
Rbm14	RBM14
Hsd17b4	HSD17B4
Fam89b	FAM89B
Tasl	TASL
Lamp2	LAMP2
Add3	ADD3
Nme5	NME5
Igkv20-101-2	IGKV1OR2-108
Csf1r	CSF1R
Mid1ip1	MID1IP1
Il1rapl1	IL1RAPL1
Mamld1	MAMLD1
Pasd1	PASD1
Hspa9	HSPA9
Foxp3	FOXP3
Tas2r139	TAS2R39
Tas2r144	TAS2R40
Gm22593	RNU6-110P
Pp2d1	PP2D1
Sult1c1	SULT1C3
Spx	SPX
Stk26	STK26
Gm54625	SNORA13
Ascl4	ASCL4
Snord60	SNORD60
Rab27b	RAB27B
Pkd1	PKD1
Snord98	SNORD98
Kcnn2	KCNN2
Gm54763	MIR1225
Gm24168	RNU6-67P
Gm23790	RNU6-647P
Gm23191	RNU6-533P
Mcf2	MCF2
Lrrc30	LRRC30
Gpr17	GPR17
Dsc1	DSC1
Ldhal6b	LDHAL6B
Gm26359	RNU6-484P
Gm55102	RN7SKP19
Gm22911	RNU6-1111P
Rfpl4b	RFPL4B
Igkc	IGKC
Rpia	RPIA
Dsc2	DSC2
Tas2r135	TAS2R60
Tas2r126	TAS2R41
Mirlet7i	MIRLET7I
Gm54942	RN7SKP36
Gm26130	SNORA29
Snora20	SNORA20
Or2a5	OR2A5
Mir26a-2	MIR26A2
Or2a25	OR2A25
Eef1akmt3	EEF1AKMT3
Tmem47	TMEM47
Cyp27b1	CYP27B1
Or2a52	OR2A2
Apex2	APEX2
Gpr31b	GPR31
Mro	MRO
Gm25104	RNU4-67P
Gm22087	RNU6-781P
Gm22503	RNU6-445P
Mir331	MIR331
Dach1	DACH1
Fgd6	FGD6
Or14j1	OR14J1
Nobox	NOBOX
Gm25831	RNU1-93P
Sema6a	SEMA6A
Gm24378	RNU6-643P
Gm24256	RNU4-89P
Gm22984	U2
Gm22970	RNU2-33P
Inhbe	INHBE
Maged1	MAGED1
Gm23538	RNU6-329P
Sacs	SACS
Ccer1	CCER1
Snord94	SNORD94
Ros1	ROS1
Fam243	C21orf140
Pgk2	PGK2
Smim34	SMIM34
Gm24126	RNU6-990P
Slitrk1	SLITRK1
Opn5	OPN5
Atp1b4	ATP1B4
Mir17	MIR17
Mir18	MIR18A
Mir19a	MIR19A
Mir20a	MIR20A
Mir19b-1	MIR19B1
Gm4131	C13orf42
Adgrf1	ADGRF1
Dsg3	DSG3
Dct	DCT
Slc35f1	SLC35F1
Pin4	PIN4
Gm55397	RNU6-708P
Ankrd66	ANKRD66
Gm23629	RNU6-1092P
Sox21	SOX21
Dpf2	DPF2
Myo1a	MYO1A
Gimap7	GIMAP7
Smad4	SMAD4
Mir598	MIR598
Rp1l1	RP1L1
Acsl4	ACSL4
Mir124a-1	MIR124-1
Sdr9c7	SDR9C7
Adam7	ADAM7
Snord59a	SNORD59A
Adamdec1	ADAMDEC1
Gm25522	RNU6-1191P
Gm25587	RNU1-57P
Tmtc2	TMTC2
Mzb1	MZB1
Nkx2-6	NKX2-6
Fgf1	FGF1
Nkx3-1	NKX3-1
Slc35g1	SLC35G1
Tectb	TECTB
Gm23013	RNU6-921P
Gm23058	RNU6-593P
Rep15	REP15
Myf5	MYF5
Otogl	OTOGL
Tbc1d10c	TBC1D10C
Tfec	TFEC
Gm22053	SNORA73B
Snord69	SNORD69
Gm24916	SNORD19B
Snord19	SNORD19
Rbfa	RBFA
Npvf	NPVF
Rnf138	RNF138
Or4n5	OR4N5
Fgf6	FGF6
Ms4a15	MS4A15
Gm22236	RNU6-416P
Gm55801	RN7SKP80
Gm55609	RNU6-556P
Tbcc	TBCC
Or4k1	OR4K1
Prph2	PRPH2
Fbxl15	FBXL15
Gm22739	RNU1-20P
Or4k2	OR4K2
Ankrd52	ANKRD52
Gm55144	RN7SKP155
Chrm1	CHRM1
Gm25852	SNORA63E
Or4q3	OR4Q3
Gm25049	RNU6-1087P
Or11g1	OR11G2
Gm25818	RNU1-67P
Tril	TRIL
Eif3a	EIF3A
Tff1	TFF1
Phlda1	PHLDA1
Tet3	TET3
Glipr1l2	GLIPR1L2
Stab1	STAB1
Gm54642	RNU6-277P
Atxn7l3b	ATXN7L3B
Gm23294	RNU1-52P
Enox2	ENOX2
Gm25054	RNU6-1047P
Tph2	TPH2
Mtnr1a	MTNR1A
Gm55668	RN7SKP212
Lgr5	LGR5
Actl9	ACTL9
Nfilz	NFILZ
Slk	SLK
Guca1a	GUCA1A
Gm26373	U6
Frem3	FREM3
Csnk1a1	CSNK1A1
Trim31	TRIM31
Mgat4d	MGAT4D
Or2i1	OR2I1
Or10c1	OR10C1
Or11a4	OR11A1
Or6c3	OR6C3
Or6c75	OR6C75
Mir140	MIR140
Or6c2	OR6C2
Lrrc63	LRRC63
Pmfbp1	PMFBP1
Or10p1	OR10P1
9130008F23Rik	C6orf141
Glyatl3	GLYATL3
Atp4b	ATP4B
Or6c65	OR6C65
Pkd1l3	PKD1L3
Gm26468	RNU6-335P
Ifi44l	IFI44L
Or6c74	OR6C74
Arl14	ARL14
Gm22876	RN7SL677P
Plce1	PLCE1
Gm22654	RNU6-98P
Otol1	OTOL1
Sf3b5	SF3B5
Tas2r131	TAS2R42
Gm22995	RNU6-1041P
Gje1	GJE1
Gm22451	RNU2-30P
Sis	SI
Mmp25	MMP25
Cldn9	CLDN9
Ect2l	ECT2L
Olig3	OLIG3
Rwdd4a	RWDD4
Bche	BCHE
1700024G13Rik	C10orf53
Znrd2	ZNRD2
Wdr49	WDR49
Mlana	MLANA
Gm22701	RN7SL767P
Lipk	LIPK
Gm22418	RNU6-1175P
Gm22193	SNORD111B
Gm24150	RNU6-896P
Gm26402	RNU6-661P
Gm24929	RNU1-54P
Trpm3	TRPM3
Slc18a3	SLC18A3
Gm55440	RN7SKP60
Slc5a4a	SLC5A4
Csmd1	CSMD1
Snora64	SNORA64
Rnf133	RNF133
Rnf148	RNF148
Tspear	TSPEAR
Tas2r118	TAS2R16
Gm54662	RN7SKP209
Gm25008	RNU6-400P
Snord45b	SNORD45B
Gm24494	SNORD45A
Hyal4	HYAL4
H2-Ea	HLA-DRA
Tmem229a	TMEM229A
Cdsn	CDSN
Nap1l5	NAP1L5
Gm6525	RPL36AL
Fam170b	FAM170B
Tigd4	TIGD4
Exosc6	EXOSC6
Il2	IL2
Il21	IL21
Or1i2	OR1I1
Mir592	MIR592
Sult6b1	SULT6B1
Noto	NOTO
Or7c70	OR7C2
Adam29	ADAM29
Gm23038	RNU6-787P
Snord52	SNORD52
Gm25744	SNORD48
Gm22212	RNU6-153P
Mpig6b	MPIG6B
Grid2	GRID2
Gm22589	SNORD84
Gm25128	SNORD117
Gm23725	RNU6-178P
Wdfy4	WDFY4
Atoh1	ATOH1
Snord73a	SNORD73A
Snord73b	SNORD73B
Fat4	FAT4
Ccdc78	CCDC78
Gm23002	RNU6-665P
Onecut3	ONECUT3
Alms1	ALMS1
Mir186	MIR186
Gm23850	RNU1-76P
Amh	AMH
Mir877	MIR877
H4c16	H4C12
Slc41a2	SLC41A2
Pram1	PRAM1
Vegfd	VEGFD
Mir302c	MIR302C
Mir302d	MIR302D
Mir129-1	MIR129-1
Trav19	TRAV29DV5
Erp27	ERP27
Gm54971	U6
Trav23	TRAV39
H2ac21	H2AC21
Gm23625	RNU6-133P
H2ac20	H2AC20
H2bc21	H2BC11
H2ac18	H2AC18
Gm25102	RNU4-72P
Trdc	TRDC
Trdv5	TRDV3
Dkk4	DKK4
Gm55779	RN7SKP252
Nrg2	NRG2
Clpsl2	CLPSL2
Adamts18	ADAMTS18
Or6c68	OR6C68
Gm23511	RNU1-63P
Ticam1	TICAM1
H2bc18	H2BC18
Gm22215	RNU6-681P
Arhgap12	ARHGAP12
Slc15a5	SLC15A5
Clec3a	CLEC3A
Maml3	MAML3
Gm23677	RNU6-1200P
Spmip1	SPMIP1
Plcz1	PLCZ1
Snord37	SNORD37
Lrrc10	LRRC10
Pcdh19	PCDH19
Capza3	CAPZA3
Gm26122	RNU6-1339P
Trim75	TRIM22
Gja8	GJA8
Trim60	TRIM60
Tnxb	TNXB
Mir183	MIR183
Mospd2	MOSPD2
Cpa2	CPA2
Gm24851	RNU6-418P
Frmpd2	FRMPD2
Galnt4	GALNT4
Tssk6	TSSK6
Gzmm	GZMM
Rbp3	RBP3
Gm25794	RNU6-34P
Mir486	MIR486-1
Gm55851	RN7SL731P
Tcim	TCIM
Mir335	MIR335
Opn4	OPN4
Or13a1	OR13A1
Gm24254	RNU6-673P
Ado	ADO
Capns2	CAPNS2
Mir346	MIR346
Taar9	TAAR9
Lrit1	LRIT1
Lrit2	LRIT2
Mir490	MIR490
Gm24614	RNU6-968P
Ids	IDS
Svopl	SVOPL
Pex39	PEX39
Trim67	TRIM67
Mex3a	MEX3A
Hkdc1	HKDC1
Ptger2	PTGER2
Atp6v0a4	ATP6V0A4
Exoc8	EXOC8
Rps4x	RPS4X
Cldn20	CLDN20
Capn13	CAPN13
S1pr4	S1PR4
Slc10a5	SLC10A5
Slc10a2	SLC10A2
Tmem213	TMEM213
Gm26008	RNU6-1131P
Fbxl14	FBXL14
Mab21l1	MAB21L1
Map10	MAP10
Cpap	CPAP
Tspan6	TSPAN6
Gm55481	Y_RNA
Slc4a5	SLC4A5
Gm55487	RN7SKP158
Gm24202	RNU6-884P
Hoxa4	HOXA4
Hoxa5	HOXA5
Maoa	MAOA
Mindy4b-ps	MINDY4B
Hoxa6	HOXA6
Mir196b	MIR196B
Tmem241	SLC35D4
Eid3	EID3
0610030E20Rik	C2orf68
Or2t6	OR2T6
Gm26485	RNU6-70P
Bhlhe22	BHLHE22
Gm25964	RNU6-1121P
Evx1	EVX1
Dnase1l3	DNASE1L3
Nxt2	NXT2
Rxfp4	RXFP4
Hepacam2	HEPACAM2
Gpr171	GPR171
Gm26265	SNORA50A
Or1f19	OR1F1
Mir489	MIR489
Gm55498	SNORA80E
Slc7a3	SLC7A3
Rsbn1	RSBN1
Tex15	TEX15
Gm56084	RN7SKP247
Mir135a-2	MIR135A2
Mir1251	MIR1251
Cldn23	CLDN23
AI429214	C8orf48
Lipi	LIPI
Tacstd2	TACSTD2
Sgcz	SGCZ
Gm26091	RNU6-179P
Msr1	MSR1
Gm24457	RNU6-984P
Lpar5	LPAR5
Or11h6	OR11H6
Naaladl2	NAALADL2
Ces4a	CES4A
Pbp2	PEBP1
Klhl33	KLHL33
Emp1	EMP1
Rnase12	RNASE12
Plekhg4	PLEKHG4
Or6s1	OR6S1
Eda2r	EDA2R
Iqcn	IQCN
Snora68	SNORA68
Ccdc194	CCDC194
Clec7a	CLEC7A
Cfap92	CFAP92
Cldn2	CLDN2
Jund	JUND
Tssk1	TSSK1B
Ptprg	PTPRG
Chrdl1	CHRDL1
H1f10	H1-10
Tssk2	TSSK2
Trappc5	TRAPPC5
Nrep	NREP
Pcdhga10	PCDHGA10
Myh15	MYH15
Zfp407	ZNF407
Antxrl	ANTXRL
Clca1	CLCA1
Drap1	DRAP1
Atp2c2	ATP2C2
Arhgef37	ARHGEF37
Gm22279	RNU6-800P
Veph1	VEPH1
Or6b1	OR6B1
Cibar2	CIBAR2
Cd99l2	CD99L2
Scarna10	SCARNA10
Pcdhgb2	PCDHGB2
Gm56047	RN7SKP31
Cbln2	CBLN2
Foxc2	FOXC2
Psmb11	PSMB11
Foxl1	FOXL1
Cebpe	CEBPE
Gkn1	GKN1
Batf2	BATF2
Il25	IL25
Zfp469	ZNF469
Mir208a	MIR208A
Mir208b	MIR208B
Lars1	LARS1
Gkn2	GKN2
Snord68	SNORD68
Gm24754	RNU6-522P
Ptx3	PTX3
Mc1r	MC1R
Cd96	CD96
n-R5s100	RNA5S17
n-R5s103	RNA5S16
Gm23462	RNU6-288P
Lpar6	LPAR6
Gm26391	RNA5S4
n-R5s134	RNA5S15
n-R5s141	RNA5S2
